HomeTeam,AwayTeam,HomeGoals,AwayGoals
Crystal Palace,Arsenal,0,2
Fulham,Liverpool,2,2
Bournemouth,Aston Villa,2,0
Leeds,Wolves,2,1
Newcastle,Nott'm Forest,2,0
Spurs,Southampton,4,1
Everton,Chelsea,0,1
Leicester,Brentford,2,2
Man Utd,Brighton,1,2
West Ham,Man City,0,2
Aston Villa,Everton,2,1
Arsenal,Leicester,4,2
Brighton,Newcastle,0,0
Man City,Bournemouth,4,0
Southampton,Leeds,2,2
Wolves,Fulham,0,0
Brentford,Man Utd,4,0
Nott'm Forest,West Ham,1,0
Chelsea,Spurs,2,2
Liverpool,Crystal Palace,1,1
Spurs,Wolves,1,0
Crystal Palace,Aston Villa,3,1
Everton,Nott'm Forest,1,1
Fulham,Brentford,3,2
Leicester,Southampton,1,2
Bournemouth,Arsenal,0,3
Leeds,Chelsea,3,0
West Ham,Brighton,0,2
Newcastle,Man City,3,3
Man Utd,Liverpool,2,1
Southampton,Man Utd,0,1
Brentford,Everton,1,1
Brighton,Leeds,1,0
Chelsea,Leicester,2,1
Liverpool,Bournemouth,9,0
Man City,Crystal Palace,4,2
Arsenal,Fulham,2,1
Aston Villa,West Ham,0,1
Wolves,Newcastle,1,1
Nott'm Forest,Spurs,0,2
Crystal Palace,Brentford,1,1
Fulham,Brighton,2,1
Southampton,Chelsea,2,1
Leeds,Everton,1,1
Arsenal,Aston Villa,2,1
Bournemouth,Wolves,0,0
Man City,Nott'm Forest,6,0
West Ham,Spurs,1,1
Liverpool,Newcastle,2,1
Leicester,Man Utd,0,1
Everton,Liverpool,0,0
Brentford,Leeds,5,2
Chelsea,West Ham,2,1
Newcastle,Crystal Palace,0,0
Nott'm Forest,Bournemouth,2,3
Spurs,Fulham,2,1
Wolves,Southampton,1,0
Aston Villa,Man City,1,1
Brighton,Leicester,5,2
Man Utd,Arsenal,3,1
Aston Villa,Southampton,1,0
Nott'm Forest,Fulham,2,3
Wolves,Man City,0,3
Newcastle,Bournemouth,1,1
Spurs,Leicester,6,2
Brentford,Arsenal,0,3
Everton,West Ham,1,0
Arsenal,Spurs,3,1
Bournemouth,Brentford,0,0
Crystal Palace,Chelsea,1,2
Fulham,Newcastle,1,4
Liverpool,Brighton,3,3
Southampton,Everton,1,2
West Ham,Wolves,2,0
Man City,Man Utd,6,3
Leeds,Aston Villa,0,0
Leicester,Nott'm Forest,4,0
Bournemouth,Leicester,2,1
Chelsea,Wolves,3,0
Man City,Southampton,4,0
Newcastle,Brentford,5,1
Brighton,Spurs,0,1
Crystal Palace,Leeds,2,1
West Ham,Fulham,3,1
Arsenal,Liverpool,3,2
Everton,Man Utd,1,2
Nott'm Forest,Aston Villa,1,1
Brentford,Brighton,2,0
Leicester,Crystal Palace,0,0
Fulham,Bournemouth,2,2
Wolves,Nott'm Forest,1,0
Spurs,Everton,2,0
Aston Villa,Chelsea,0,2
Leeds,Arsenal,0,1
Man Utd,Newcastle,0,0
Southampton,West Ham,1,1
Liverpool,Man City,1,0
Brighton,Nott'm Forest,0,0
Crystal Palace,Wolves,2,1
Bournemouth,Southampton,0,1
Brentford,Chelsea,0,0
Liverpool,West Ham,1,0
Newcastle,Everton,1,0
Man Utd,Spurs,2,0
Fulham,Aston Villa,3,0
Leicester,Leeds,2,0
Nott'm Forest,Liverpool,1,0
Everton,Crystal Palace,3,0
Man City,Brighton,3,1
Chelsea,Man Utd,1,1
Aston Villa,Brentford,4,0
Leeds,Fulham,2,3
Southampton,Arsenal,1,1
Wolves,Leicester,0,4
Spurs,Newcastle,1,2
West Ham,Bournemouth,2,0
Leicester,Man City,0,1
Bournemouth,Spurs,2,3
Brentford,Wolves,1,1
Brighton,Chelsea,4,1
Crystal Palace,Southampton,1,0
Newcastle,Aston Villa,4,0
Fulham,Everton,0,0
Liverpool,Leeds,1,2
Arsenal,Nott'm Forest,5,0
Man Utd,West Ham,1,0
Leeds,Bournemouth,4,3
Man City,Fulham,2,1
Nott'm Forest,Brentford,2,2
Wolves,Brighton,2,3
Everton,Leicester,0,2
Chelsea,Arsenal,0,1
Aston Villa,Man Utd,3,1
Southampton,Newcastle,1,4
West Ham,Crystal Palace,1,2
Spurs,Liverpool,1,2
Man City,Brentford,1,2
Bournemouth,Everton,3,0
Liverpool,Southampton,3,1
Nott'm Forest,Crystal Palace,1,0
Spurs,Leeds,4,3
West Ham,Leicester,0,2
Newcastle,Chelsea,1,0
Wolves,Arsenal,0,2
Brighton,Aston Villa,1,2
Fulham,Man Utd,1,2
Brentford,Spurs,2,2
Crystal Palace,Fulham,0,3
Everton,Wolves,1,2
Leicester,Newcastle,0,3
Southampton,Brighton,1,3
Aston Villa,Liverpool,1,3
Arsenal,West Ham,3,1
Chelsea,Bournemouth,2,0
Man Utd,Nott'm Forest,3,0
Leeds,Man City,1,3
West Ham,Brentford,0,2
Liverpool,Leicester,2,1
Wolves,Man Utd,0,1
Bournemouth,Crystal Palace,0,2
Fulham,Southampton,2,1
Man City,Everton,1,1
Newcastle,Leeds,0,0
Brighton,Arsenal,2,4
Spurs,Aston Villa,0,2
Nott'm Forest,Chelsea,1,1
